STATE,RATE,DEATHS,URL
AL,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
AK,22.1,167,/nchs/pressroom/states/alaska/alaska.htm
AZ,18,"1,244",/nchs/pressroom/states/arizona/arizona.htm
AR,17.3,515,/nchs/pressroom/states/arkansas/arkansas.htm
CA,10.5,"4,214",/nchs/pressroom/states/california/california.htm
CO,19.9,"1,083",/nchs/pressroom/states/colorado/colorado.htm
CT,9.8,379,/nchs/pressroom/states/connecticut/connecticut.htm
DE,13.2,126,/nchs/pressroom/states/delaware/delaware.htm
FL,13.9,"3,035",/nchs/pressroom/states/florida/florida.htm
GA,12.6,"1,294",/nchs/pressroom/states/georgia/georgia.htm
HI,13.8,204,/nchs/pressroom/states/hawaii/hawaii.htm
ID,20,320,/nchs/pressroom/states/idaho/idaho.htm
IL,10.5,"1,398",/nchs/pressroom/states/illinois/illinois.htm
IN,14.3,948,/nchs/pressroom/states/indiana/indiana.htm
IA,12.9,407,/nchs/pressroom/states/iowa/iowa.htm
KS,15.7,455,/nchs/pressroom/states/kansas/kansas.htm
KY,15.9,727,/nchs/pressroom/states/kentucky/kentucky.htm
LA,14.3,679,/nchs/pressroom/states/louisiana/louisiana.htm
ME,15.7,220,/nchs/pressroom/states/maine/maine.htm
MD,9.8,606,/nchs/pressroom/states/maryland/maryland.htm
MA,8.2,596,/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,13.3,"1,354",/nchs/pressroom/states/michigan/michigan.htm
MN,12.2,686,/nchs/pressroom/states/minnesota/minnesota.htm
MS,12.5,380,/nchs/pressroom/states/mississippi/mississippi.htm
MO,16.3,"1,017",/nchs/pressroom/states/missouri/missouri.htm
MT,23.9,251,/nchs/pressroom/states/montana/montana.htm
NE,13.4,251,/nchs/pressroom/states/nebraska/nebraska.htm
NV,19.6,573,/nchs/pressroom/states/nevada/nevada.htm
NH,17.8,247,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,8.3,786,/nchs/pressroom/states/newjersey/newjersey.htm
NM,21,449,/nchs/pressroom/states/newmexico/newmexico.htm
NY,8.1,"1,700",/nchs/pressroom/states/newyork/newyork.htm
NC,13,"1,351",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,17.8,137,/nchs/pressroom/states/northdakota/northdakota.htm
OH,12.6,"1,491",/nchs/pressroom/states/ohio/ohio.htm
OK,19.1,736,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,18.6,782,/nchs/pressroom/states/oregon/oregon.htm
PA,13.3,"1,817",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,10.1,113,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,15.2,753,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,17.1,141,/nchs/pressroom/states/southdakota/southdakota.htm
TN,14.1,948,/nchs/pressroom/states/tenessee/tennessee.htm
TX,12.2,"3,254",/nchs/pressroom/states/texas/texas.htm
UT,20.5,559,/nchs/pressroom/states/utah/utah.htm
VT,18.7,124,/nchs/pressroom/states/vermont/vermont.htm
VA,12.9,"1,122",/nchs/pressroom/states/virginia/virginia.htm
WA,15.2,"1,119",/nchs/pressroom/states/washington/washington.htm
WV,18.1,359,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,13.1,769,/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,20.6,120,/nchs/pressroom/states/wyoming/wyoming.htm
